551 taxa,PS_Designation,AMBI2022,combined
Abietinaria,1,1,1
Acanthodoris,0,0,0
Acila_castrensis,2,2,2
Acromegalomma,0,2,2
Acteocina_culcitella,3,2,3
Adontorhina_cyclia,2,2,2
Aglaja_ocelligera,1,1,1
Aglaophenia,1,0,1
Akanthophoreus_phillipsi,0,0,0
Alcyonidium,1,2,1
Alvania,0,1,1
Amage,2,0,2
Americhelidium_shoemakeri,2,2,2
Ampelisca_agassizi,1,1,1
Ampelisca_brevisimulata,2,2,2
Ampelisca_careyi,1,2,1
Ampelisca_hancocki,1,1,1
Ampelisca_lobata,2,2,2
Ampelisca_pugetica,1,2,1
Ampharete,2,0,2
Ampharete_acutifrons,2,2,2
Ampharete_cf_crassiseta,2,0,2
Ampharete_finmarchica,2,1,2
Ampharete_labrops,2,2,2
Ampharete_lineata,0,2,2
Ampharete_sp_N1,0,0,0
Amphicteis,1,0,1
Amphiodia,2,1,2
Amphiodia_occidentalis,1,0,1
Amphiodia_urtica_periercta,2,0,2
Amphipholis,2,1,2
Amphiporus,2,0,2
Amphitrite,2,0,2
Amphiuridae,2,2,2
Anobothrus_gracilis,2,3,2
Anonyx,1,2,1
Anoplodactylus,0,2,2
Aoroides,2,2,2
Aoroides_columbiae,2,2,2
Aoroides_inermis,2,2,2
Aoroides_intermedius,1,2,1
Aphelochaeta,0,4,4
Aphelochaeta_glandaria_Cmplx,5,0,5
Aphelochaeta_monilaris,4,4,4
Apistobranchus,2,1,2
Aplidium,0,0,0
Araphura_breviaria,1,2,1
Argissa_hamatipes,2,1,2
Arhynchite_pugettensis,1,0,1
Aricidea_Acmira_catherinae,2,0,2
Aricidea_Acmira_lopezi,2,0,2
Aricidea_Aricidea_minuta,2,0,2
Aricidea_Strelzovia_antennata,1,0,1
Aricidea_Strelzovia_ramosa,0,2,2
Armandia_brevis,3,4,3
Artacama_coniferi,2,2,2
Asclerocheilus_beringianus,1,0,1
Axinopsida_serricata,4,3,4
Axiothella_rubrocincta,1,1,1
Barantolla_nr_americana,2,0,2
Barentsia,1,0,1
Bathymedon,2,2,2
Bispira,1,1,1
Boccardia_pugettensis,2,2,2
Boccardiella,0,3,3
Boltenia,1,0,1
