Sample,Sed_TOC,Sed_TN,HPAH,LPAH,Ag,As,Cd,Cr,Cu,Hg,Pb,Zn,PBDE47,Ni,Se,Sn
Long-term_2017_3_1,1.45,0.16,122.71,89.05333333,0.075,8.086666667,0.183333333,38.13333333,24,0.0434,10.21666667,77.56666667,0.115333333,29.9,1.3,4.17
Long-term_2018_3_1,1.32,0.2,104.77,97.34,0.066,6.94,0.172,38.5,21.9,0.0535,10.7,69.3,0.233,28.5,0.587,0.76
Long-term_2017_4_1,1.92,0.2,237.2733333,99.08666667,0.165666667,9.82,0.352,58.86666667,35.93333333,0.081066667,12.66666667,97.33333333,0.226,53.26666667,1.516666667,1.136666667
Long-term_2018_4_1,2.05,0.25,227.21,94.16,0.151,7.78,0.337,58,34.5,0.0922,14,92,0.227,52.5,0.783,1.06
Long-term_2017_13_1,0.28,0.1,40.25333333,11.081,0.05,3.626666667,0.069666667,21.36666667,6.663333333,0.012866667,3.163333333,30.43333333,0.399,19.86666667,0.364666667,0.306666667
Long-term_2018_13_1,0.22,0.04,38.178,18.509,0.05,3.26,0.089,21.9,7.88,0.016,4.07,32.9,0.034,19.1,0.186,0.36
Long-term_2017_19_1,1.87,0.19,332.9833333,68.58666667,0.187,11.66666667,0.218333333,77.6,41.16666667,0.083033333,17.13333333,103.6666667,0.161,68.16666667,1.396666667,1.446666667
Long-term_2018_19_1,1.96,0.21,332.9833333,68.58666667,0.187,11.66666667,0.218333333,77.6,41.16666667,0.083033333,17.13333333,103.6666667,0.161,68.16666667,1.396666667,1.446666667
Long-term_2017_21_1,1.49,0.1,285.0166667,127.3233333,0.122333333,13.43333333,0.23,48.43333333,45.93333333,0.104966667,8.543333333,72.4,0.108,43.76666667,0.741333333,0.723333333
Long-term_2018_21_1,1.17,0.08,174.98,76.82,0.091,8.08,0.19,42.3,33.6,0.0529,6.88,63.5,0.066,36.6,0.191,0.56
Long-term_2017_29_1,1.85,0.2,377.3233333,108.7733333,0.171,8.076666667,0.404333333,45.7,31.96666667,0.073666667,13.3,89.73333333,0.195,38.86666667,1.353333333,1.273333333
Long-term_2018_29_1,1.78,0.24,342.47,92.25,0.163,7.77,0.39,46.5,31.6,0.0815,14.5,84.5,0.306,37.9,0.707,1.37
Long-term_2017_34_1,2.34,0.24,2053.6,299.4,0.656,11.96666667,1.333333333,52.63333333,125,1.37,84.83333333,188.6666667,0.265333333,39.86666667,1.42,5.936666667
Long-term_2018_34_1,2.35,0.25,838.3,101.96,0.609,11.6,1.25,52.8,104,0.632,71,154,0.183,37.7,0.94,4.87
Long-term_2017_38_1,2.12,0.25,598.6,156.08,0.264333333,9.546666667,0.386666667,44.96666667,40.96666667,0.127666667,23.1,91.7,0.439666667,37.26666667,1.493333333,1.973333333
Long-term_2018_38_1,2.29,0.29,563.08,130.22,0.232,9.25,0.351,47.2,40.7,0.135,25.2,91.7,0.601,37.1,0.891,1.93
Long-term_2017_40_1,0.86,0.1,5977,2042.466667,0.130333333,4.76,0.098,14.4,29.43333333,0.076466667,13.56666667,35.73333333,0.127,10.12,0.526666667,0.953333333
Long-term_2018_40_1,0.67,0.04,7704.2,2721.5,0.106,5.08,0.061,15.1,22.9,0.0726,11.8,35.9,0.143,9.25,0.131,0.83
Long-term_2017_44_1,0.36,0.1,45.771,12.3,0.049666667,3.73,0.125,20.13333333,10.10333333,0.0293,6.773333333,31.93333333,0.402,17.1,0.508333333,0.483333333
Long-term_2018_44_1,0.45,0.06,42.194,10.494,0.05,3.5,0.135,20.4,9.25,0.0242,6.5,29.7,0.041,15.9,0.146,0.48
Long-term_2017_49_1,3.01,0.32,608.02,149.82,0.435333333,12.66666667,1.886666667,43.36666667,59.4,0.192666667,20.53333333,97.26666667,0.206666667,34.36666667,1.6,1.953333333
Long-term_2018_49_1,2.46,0.25,465.75,103.35,0.372,12.3,1.71,43.2,54.4,0.163,21.2,87.4,0.15,32.4,0.881,1.88
Long-term_2017_52_1,0.55,0.1,73.87666667,18.84333333,0.064333333,4.523333333,0.175,17.9,15.3,0.035466667,7.003333333,34.86666667,0.188333333,14.46666667,0.590333333,0.543333333
Long-term_2018_52_1,0.48,0.06,73.87666667,18.84333333,0.064333333,4.523333333,0.175,17.9,15.3,0.035466667,7.003333333,34.86666667,0.188333333,14.46666667,0.590333333,0.543333333
Long-term_2017_119_1,0.35,0.1,23.06666667,6.191666667,0.05,4.943333333,0.120666667,28.33333333,8.133333333,0.0184,3.496666667,37.36666667,0.089,32.53333333,0.495333333,0.313333333
Long-term_2018_119_1,0.51,0.07,23.06666667,6.191666667,0.05,4.943333333,0.120666667,28.33333333,8.133333333,0.0184,3.496666667,37.36666667,0.089,32.53333333,0.495333333,0.313333333
Long-term_2017_191_1,1.62,0.16,1926,849.8,0.272,9.13,0.238,34.1,34.1,0.233,29.7,80.3,0.37,27.7,0.726,2.77
Long-term_2018_191_1,1.64,0.14,1591.1,370.1,0.271,9.31,0.267,37.8,39.3,0.252,35.1,84.1,0.257,30.6,0.433,3.12
Long-term_2017_222_1,1.53,0.2,184.9,72.31333333,0.105666667,6.543333333,0.326666667,42.03333333,23.43333333,0.0492,8.393333333,70.63333333,0.122,34.26666667,1.069333333,0.83
Long-term_2018_222_1,1.77,0.21,184.9,72.31333333,0.105666667,6.543333333,0.326666667,42.03333333,23.43333333,0.0492,8.393333333,70.63333333,0.122,34.26666667,1.069333333,0.83
Long-term_2017_252_1,2.26,0.28,303.7766667,73.08,0.279,9.17,0.799333333,36.1,42.8,0.112333333,19.06666667,88.46666667,0.197666667,30.76666667,1.41,1.38
Long-term_2018_252_1,2.15,0.28,303.7766667,73.08,0.279,9.17,0.799333333,36.1,42.8,0.112333333,19.06666667,88.46666667,0.197666667,30.76666667,1.41,1.38
Long-term_2017_265_1,2.29,0.28,425.41,122.97,0.373666667,12.73333333,0.772,38.3,53.1,0.175666667,25,98.96666667,0.229333333,32.33333333,1.503333333,1.876666667
Long-term_2018_265_1,2.23,0.28,425.41,122.97,0.373666667,12.73333333,0.772,38.3,53.1,0.175666667,25,98.96666667,0.229333333,32.33333333,1.503333333,1.876666667
Long-term_2017_281_1,1.35,0.12,174.05,132.35,0.135,7.7,0.15,25.3,32.5,0.0661,11.9,50.7,0.39,17.8,0.946,0.95
